TerritoryID,TerritoryNumber,CategoryCode,Category,TerritoryAddressID,ApartmentNumber,Number,Street,Suburb,PostalCode,State,Name,Phone,Type,Status,NotHomeAttempt,Date1,Date2,Date3,Date4,Date5,Language,Latitude,Longitude,Notes,NotesFromPublisher
4755744,104,,,6757698,,,Jack Farrell Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06139922,174.9680526,,
4755744,104,,,5006443,,,John Burn Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0451619,174.9482052,,
4755744,104,,,4711330,,,Kaipara Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0555171,174.97337426836,,
4755744,104,,,6810886,,,Kapuarangi Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04915417,174.9710069,,
4755744,104,,,7856457,,,Keeney Court,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06068977,174.9496146,,
4755744,104,,,5657450,,,Kerry Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06192872,174.9612461,,
4755744,104,,,8881400,,,Kirikiri Drive,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0556948,174.943844623099,,
4755744,104,,,4675165,,,Kokako Rise,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05805558,174.9743371,,
4755744,104,,,4924884,,,Korakora Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06891895,174.94698,,
4755744,104,,,7541787,,,Kukutai Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05699665,174.9414183,,
4755744,104,,,6851491,,,Lamborn Drive,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05179,174.96559,,
4755744,104,,,2562840,,,Lansdown Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06199003,174.9706887,,
4755744,104,,,8599143,,,Lauren Grove,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05,174.9757095,,
4755744,104,,,7742018,,,Laurie Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06220778,174.9540663,,
4755744,104,,,9544250,,,Leadership Crescent,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05032525,174.943878693454,,
4755744,104,,,8771853,,,Liberation Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04888915,174.9426269,,
4755744,104,,,8113192,,,Liddesdale Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0590741,174.968714213969,,
4755744,104,,,2322488,,,Lieutenant Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04864488,174.9435095,,
4755744,104,,,1008623,,,Loris Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0623035,174.9700076,,
4755744,104,,,9485611,,,Maadi Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05438,174.94776,,
4755744,104,,,6814894,,,Mangatiti Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05152008,174.964065195666,,
4755744,104,,,4296896,,,Margaret Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06119268,174.945915,,
4755744,104,,,1419831,,,Margaret Williams Drive,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.07343333,174.9631451,,
4755744,104,,,4906974,,,Markedo Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.07034158,174.965048,,
4755744,104,,,1912154,,,Marne Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.063784,174.9489701,,
4755744,104,,,2308667,,,Marples Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06191545,174.9743554,,
4755744,104,,,9965035,,,Matheson Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05216672,174.9496023,,
4755744,104,,,5999860,,,Maurice Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06154658,174.9607653,,
4755744,104,,,2877589,,,Melgran Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04971699,174.9683851,,
4755744,104,,,7579448,,,Menary Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06464354,174.9397646,,
4755744,104,,,2676377,,,Mettle Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04996351,174.944152,,
4755744,104,,,5476698,,,Military Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05041353,174.9527483,,
4755744,104,,,3697832,,,Millfield Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05304456,174.965192435996,,
4755744,104,,,8020383,,,Milson Drive,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0556948,174.943844623099,,
4755744,104,,,4322811,,,Minhas Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05996,174.94454,,
4755744,104,,,7161395,,,Montana Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.057931,174.9492838,,
4755744,104,,,1430002,,,Mountbatten Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05853172,174.9624341,,
4755744,104,,,4776619,,,Nagra Lane,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05491755,174.9550463,,
4755744,104,,,9005539,,,Nola Dawn Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04899143,174.9683445,,
4755744,104,,,5742592,,,Nykki Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05965613,174.9703237,,
4755744,104,,,9663129,,,Ohiwa Road,Papakura,,Auckland,,,House,Available,0,,,,,,,-37.05234603,174.9816649,,
4755744,104,,,6432742,,,Okawa Avenue,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05310875,174.9664272,,
4755744,104,,,2823317,,,Old Villa Way,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06588181,174.9604814,,
4755744,104,,,3712860,,,Old Wairoa Road,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05735505,174.9415121,,
4755744,104,,,4905608,,,Olympic Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05667015,174.9472766,,
4755744,104,,,4511226,,,Ope Taua Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.04703167,174.9481076,,
4755744,104,,,3388841,,,Oregon Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0710258,174.9529961,,
4755744,104,,,2206812,,,Orion Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.06962096,174.9531699,,
4755744,104,,,8879018,,,Osborne Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0697496,174.9565478,,
4755744,104,,,7578168,,,O'Shannessey Street,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0602465,174.9424449,,
4755744,104,,,4559560,,,Pakaraka Drive,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.05305336,174.9680926,,
4755744,104,,,7256152,,,Papauma Place,Papakura,2110,Auckland,,,House,Available,0,,,,,,,-37.0617685,174.9737653,,
